CLAVE;SITIO;ORGANISMO_DE_CUENCA;ESTADO;MUNICIPIO;CUENCA;CUERPO DE AGUA;TIPO;SUBTIPO;LONGITUD;LATITUD;PERIODO;DBO_mg/L;CALIDAD_DBO;DQO_mg/L;CALIDAD_DQO;SST_mg/L;CALIDAD_SST;COLI_FEC_NMP_100mL;CALIDAD_COLI_FEC;E_COLI_NMP_100mL;CALIDAD_E_COLI;ENTEROC_NMP_100mL;CALIDAD_ENTEROC;OD_PORC;CALIDAD_OD_PORC;OD_PORC_SUP;CALIDAD_OD_PORC_SUP;OD_PORC_MED;CALIDAD_OD_PORC_MED;OD_PORC_FON;CALIDAD_OD_PORC_FON;TOX_D_48_UT;CALIDAD_TOX_D_48;TOX_V_15_UT;CALIDAD_TOX_V_15;TOX_D_48_SUP_UT;CALIDAD TOX_D_48_SUP;TOX_D_48_FON_UT;CALIDAD_TOX_D_48_FON;TOX_FIS_SUP_15_UT;CALIDAD_TOX_FIS_SUP_15;TOX_FIS_FON_15_UT;CALIDAD_TOX_FIS_FON_15;SEMAFORO;CONTAMINANTES;CUMPLE_CON_DBO;CUMPLE_CON_DQO;CUMPLE_CON_SST;CUMPLE_CON_CF;CUMPLE_CON_E_COLI;CUMPLE_CON_ENTEROC;CUMPLE_CON_OD;CUMPLE_CON_TOX;GRUPO
DLMIC1805;RIO ZINAPECUARO LAS ADJUNTAS;LERMA SANTIAGO PACIFICO;MICHOACAN DE OCAMPO;ZINAPECUARO;LAGO DE CUITZEO;RIO ZINAPECUARO;LOTICO;RIO;-10.077.114;1.984.511;2020;5;Buena calidad;39;Aceptable;182;Contaminada;4600;Contaminada;280;Buena calidad;;;102.8;Excelente;;;;;;;<1;No Toxico;<1;No Toxico;;;;;;;;;Amarillo;SST,CF,;SI;SI;NO;NO;SI;ND;SI;SI;LOTICO
DLMIC1806;RIO ZINAPECUARO ANTES PRESA MALPAIS;LERMA SANTIAGO PACIFICO;MICHOACAN DE OCAMPO;ZINAPECUARO;LAGO DE CUITZEO;RIO ZINAPECUARO;LOTICO;RIO;-10.083.138;1.984.649;2020;12;Aceptable;96;Contaminada;605;Fuertemente contaminada;24000;Fuertemente contaminada;11000;Fuertemente contaminada;;;102.7;Excelente;;;;;;;<1;No Toxico;<1;No Toxico;;;;;;;;;Rojo;DQO,SST,CF,E_COLI,;SI;NO;NO;NO;NO;ND;SI;SI;LOTICO
DLMIC1808;RIO DUERO LAS ADJUNTAS;LERMA SANTIAGO PACIFICO;MICHOACAN DE OCAMPO;TANGANCICUARO;RIO DUERO;RIO DUERO;LOTICO;RIO;-10.220.418;1.990.921;2020;9;Aceptable;47;Contaminada;72;Buena calidad;11000;Fuertemente contaminada;430;Buena calidad;;;41;Aceptable;;;;;;;<1;No Toxico;<1;No Toxico;;;;;;;;;Rojo;DQO,CF,;SI;NO;SI;NO;SI;ND;SI;SI;LOTICO
DLMIC1810;RIO QUERENDARO;LERMA SANTIAGO PACIFICO;MICHOACAN DE OCAMPO;QUERENDARO;LAGO DE CUITZEO;RIO QUERENDARO;LOTICO;RIO;-10.088.236;1.981.931;2020;6;Buena calidad;40;Aceptable;62;Buena calidad;24000;Fuertemente contaminada;11000;Fuertemente contaminada;;;96.4;Excelente;;;;;;;<1;No Toxico;<1;No Toxico;;;;;;;;;Amarillo;CF,E_COLI,;SI;SI;SI;NO;NO;ND;SI;SI;LOTICO
DLMIC1811;RIO DUERO EL PLATANAL;LERMA SANTIAGO PACIFICO;MICHOACAN DE OCAMPO;JACONA;RIO DUERO;RIO DUERO;LOTICO;RIO;-10.225.293;1.993.463;2020;6;Buena calidad;36;Aceptable;26;Buena calidad;24000;Fuertemente contaminada;1500;Fuertemente contaminada;;;79.27;Excelente;;;;;;;<1;No Toxico;<1;No Toxico;;;;;;;;;Amarillo;CF,E_COLI,;SI;SI;SI;NO;NO;ND;SI;SI;LOTICO
DLMIC1813;CUITZEO CHEHUAYO;LERMA SANTIAGO PACIFICO;MICHOACAN DE OCAMPO;CUITZEO;LAGO DE CUITZEO;LAGO DE CUITZEO;LENTICO (HUMEDAL);LAGO;-10.107.342;1.989.982;2020;98;Contaminada;870;Fuertemente contaminada;1560;Fuertemente contaminada;43;Excelente;23;Excelente;;;;;289;Fuertemente contaminada;;;;;;;;;1.01;Toxicidad baja;;;<1;No Toxico;;;Rojo;DBO,DQO,SST,OD%S,;NO;NO;NO;SI;SI;ND;NO;SI;LENTICO
DLMIC1815;CUITZEO LA ORTIGA;LERMA SANTIAGO PACIFICO;MICHOACAN DE OCAMPO;SANTA ANA MAYA;LAGO DE CUITZEO;LAGO DE CUITZEO;LENTICO;LAGO;-10.100.118;1.998.027;2020;20;Aceptable;130;Contaminada;18;Excelente;<3;Excelente;<3;Excelente;;;;;28.4;Contaminada;;;;;;;;;<1;No Toxico;;;<1;No Toxico;;;Rojo;DQO,OD%S,;SI;NO;SI;SI;SI;ND;NO;SI;LENTICO
DLMIC1816;PRESA MALPAIS CORTINA;LERMA SANTIAGO PACIFICO;MICHOACAN DE OCAMPO;QUERENDARO;LAGO DE CUITZEO;PRESA MALPAIS;LENTICO;PRESA;-10.087.892;1.983.536;2020;11;Aceptable;105;Contaminada;<10;Excelente;93;Excelente;43;Excelente;;;;;<10;Fuertemente contaminada;;;;;;;;;<1;No Toxico;;;<1;No Toxico;;;Rojo;DQO,OD%S,;SI;NO;SI;SI;SI;ND;NO;SI;LENTICO
DLMIC1817M1;PRESA ZICUIRAN 2;BALSAS;MICHOACAN DE OCAMPO;LA HUACANA;RIO BAJO BALSAS;PRESA ZICUIRAN;LENTICO;PRESA;-10.191.346;1.894.011;2020;9;Aceptable;29;Aceptable;15;Excelente;9;Excelente;9;Excelente;;;;;112.8;Buena calidad;<10;Fuertemente contaminada;<10;Fuertemente contaminada;;;;;<1;No Toxico;;;<1;No Toxico;;;Amarillo;OD%M,OD%F,;SI;SI;SI;SI;SI;ND;NO;SI;LENTICO
DLMIC1818M1;PRESA ZICUIRAN CORTINA;BALSAS;MICHOACAN DE OCAMPO;LA HUACANA;RIO BAJO BALSAS;PRESA ZICUIRAN;LENTICO;PRESA;-10.193.162;1.892.214;2020;15;Aceptable;50;Contaminada;26;Buena calidad;21;Excelente;9;Excelente;;;;;109.4;Excelente;<10;Fuertemente contaminada;<10;Fuertemente contaminada;;;;;<1;No Toxico;;;<1;No Toxico;;;Rojo;DQO,OD%M,OD%F,;SI;NO;SI;SI;SI;ND;NO;SI;LENTICO
DLMIC1819;PRESA EL  CUERAMAL 1;BALSAS;MICHOACAN DE OCAMPO;CHURUMUCO;RIO BAJO BALSAS;PRESA EL  CUERAMAL;LENTICO;PRESA;-10.161.848;1.870.134;2020;10;Aceptable;49;Contaminada;<10;Excelente;<3;Excelente;<3;Excelente;;;;;34.8;Aceptable;;;23.7;Contaminada;;;;;<1;No Toxico;;;<1;No Toxico;;;Rojo;DQO,OD%F,;SI;NO;SI;SI;SI;ND;NO;SI;LENTICO
DLMIC1820;PRESA EL  CUERAMAL 2;BALSAS;MICHOACAN DE OCAMPO;CHURUMUCO;RIO BAJO BALSAS;PRESA EL  CUERAMAL;LENTICO;PRESA;-10.161.230;1.869.836;2020;9;Aceptable;32;Aceptable;<10;Excelente;<3;Excelente;<3;Excelente;;;;;75.3;Excelente;<10;Fuertemente contaminada;<10;Fuertemente contaminada;;;;;<1;No Toxico;;;<1;No Toxico;;;Amarillo;OD%M,OD%F,;SI;SI;SI;SI;SI;ND;NO;SI;LENTICO
DLMIC1821;PRESA EL  CUERAMAL 5;BALSAS;MICHOACAN DE OCAMPO;CHURUMUCO;RIO BAJO BALSAS;PRESA EL  CUERAMAL;LENTICO;PRESA;-10.160.700;1.869.471;2020;10;Aceptable;32;Aceptable;11;Excelente;<3;Excelente;<3;Excelente;;;;;72.8;Excelente;<10;Fuertemente contaminada;<10;Fuertemente contaminada;;;;;<1;No Toxico;;;<1;No Toxico;;;Amarillo;OD%M,OD%F,;SI;SI;SI;SI;SI;ND;NO;SI;LENTICO
DLMIC1822;RH16-2 BALSAS;BALSAS;MICHOACAN DE OCAMPO;CHURUMUCO;RIO BAJO BALSAS;RIO BALSAS;LOTICO (HUMEDAL);RIO;-10.162.342;1.859.951;2020;<2;Excelente;54.43;Contaminada;703.33;Fuertemente contaminada;11620;Fuertemente contaminada;620;Aceptable;;;85.3;Excelente;;;;;;;<1;No Toxico;<1;No Toxico;;;;;;;;;Rojo;DQO,SST,CF,;SI;NO;NO;NO;SI;ND;SI;SI;LOTICO
DLMIC5499;AGOSTITLAN CORTINA;BALSAS;MICHOACAN DE OCAMPO;HIDALGO;RIo Cutzamala;PRESA AGOSTITLAN;LENTICO;PRESA;-10.060.937;1.957.889;2020;14;Aceptable;99;Contaminada;<10;Excelente;1100;Contaminada;460;Buena calidad;;;;;54.5;Buena calidad;39.5;Aceptable;43.1;Aceptable;;;;;<1;No Toxico;;;<1;No Toxico;;;Rojo;DQO,CF,;SI;NO;SI;NO;SI;ND;SI;SI;LENTICO
DLMIC5500;AGOSTITLAN LAS CAPILLAS;BALSAS;MICHOACAN DE OCAMPO;HIDALGO;RIo Cutzamala;PRESA AGOSTITLAN;LENTICO;PRESA;-10.060.876;1.956.984;2020;9;Aceptable;95;Contaminada;<10;Excelente;240;Aceptable;93;Excelente;;;;;137.8;Contaminada;65.5;Buena calidad;50;Aceptable;;;;;<1;No Toxico;;;<1;No Toxico;;;Rojo;DQO,OD%S,;SI;NO;SI;SI;SI;ND;NO;SI;LENTICO
DLMIC5501;PUCUATO CORTINA;BALSAS;MICHOACAN DE OCAMPO;HIDALGO;RIo Cutzamala;PRESA PUCUATO;LENTICO;PRESA;-10.068.501;1.962.087;2020;7;Aceptable;75;Contaminada;<10;Excelente;23;Excelente;9;Excelente;;;;;133.4;Contaminada;98.5;Excelente;61.7;Buena calidad;;;;;<1;No Toxico;;;<1;No Toxico;;;Rojo;DQO,OD%S,;SI;NO;SI;SI;SI;ND;NO;SI;LENTICO
DLMIC5502;PUCUATO CENTRO;BALSAS;MICHOACAN DE OCAMPO;HIDALGO;RIo Cutzamala;PRESA PUCUATO;LENTICO;PRESA;-10.068.828;1.961.578;2020;5;Buena calidad;119;Contaminada;<10;Excelente;9;Excelente;4;Excelente;;;;;114.2;Buena calidad;106.1;Excelente;99.9;Excelente;;;;;<1;No Toxico;;;<1;No Toxico;;;Rojo;DQO,;SI;NO;SI;SI;SI;ND;SI;SI;LENTICO
DLNAY1825;LAGUNA AGUA GRANDE 5 (ESTERO TEACAPAN 5);PACIFICO NORTE;NAYARIT;TECUALA;GRUPO DE CORRIENTES MARISMAS NACIONALES;LAGUNA AGUA GRANDE;COSTERO (HUMEDAL);LAGUNA;-10.566.870;2.250.680;2020;;;;;26.9;Buena calidad;;;;;161;Buena calidad;;;26.7;Contaminada;;;;;;;;;;;;;<1;No Toxico;;;Amarillo;OD%S,;ND;ND;SI;ND;ND;SI;NO;SI;COSTERO
DLNAY1826W1;LAGUNA AGUA GRANDE DESEMBOCADURA (ESTERO TEACAPAN DESEMBOCADURA);PACIFICO NORTE;NAYARIT;TECUALA;GRUPO DE CORRIENTES MARISMAS NACIONALES;ESTERO TEACAPAN;COSTERO (HUMEDAL);ESTERO;-10.574.564;2.253.808;2020;;;;;23.25;Excelente;;;;;<3;Excelente;;;77;Excelente;;;74.8;Excelente;;;;;;;;;<1;No Toxico;;;Verde;;ND;ND;SI;ND;ND;SI;SI;SI;COSTERO
